종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE,배당수익률,순이익률,자본회전율,AltmanZScore,1-부채비율,PER,PSR,PBR
002920,2020.0,1,1080000000.0,210269000000.0,44274179142.0,3347687016.0,61009735852.0,3847952284.0,301867000000.0,392629000000.0,90762821865.0,0.031,57344000854.4943,-0.234,0.01883370507649809,0.06307111857252629,0.2021080007155469,1.3631231643624415,0.6993284397930215,14.902471918098842,0.9399155733701553,0.18996497457508812
003200,2020.0,1,125610250.0,414471000000.0,156177000000.0,3667466948.0,116455000000.0,786761162.0,719736000000.0,972493000000.0,252757000000.0,0.023,107087996980.513,-0.37,0.0011729629234064163,0.006755924279764716,0.1618023830960241,1.12266714158637,0.6488198450542977,136.11245973083888,0.9195654714740715,0.14878788469732374
003610,2020.0,1,0.0,144634000000.0,35397989744.0,803741339.0,33435427082.0,-221636040.0,189586000000.0,232938000000.0,43351614108.0,0.05,67490973084.7508,-0.261,0.0,-0.006628778494632061,0.1763602116295507,2.0468635053288478,0.7713353617461205,-304.51262838277927,2.018546762367652,0.35599060959576384
004080,2020.0,1,0.0,58814701807.0,42916549547.0,1655196067.0,28629449816.0,5459025696.0,92821717839.0,150008000000.0,57186571548.0,0.032,87399956480.0,-0.066,0.0,0.19067867985884734,0.3084348198086358,2.015288851256631,0.383909575481133,16.010174955586066,3.0527990248403314,0.9415924527082282
004150,2020.0,1,0.0,235766000000.0,175367000000.0,2292692000.0,132803000000.0,15179649000.0,472482000000.0,697375000000.0,224894000000.0,0.04,120764424886.498,-0.357,0.0,0.11430200371979549,0.2810752578934224,1.281217869617572,0.5240157296997557,7.955679666011909,0.9093501267779944,0.25559636236483163
004590,2020.0,1,0.0,42685036812.0,17420712710.0,1745074527.0,15845857032.0,1633180923.0,103869000000.0,141026000000.0,37157319109.0,0.046,52200022016.0,-0.171,0.0,0.10306674607134622,0.15255617202437685,1.5322484774422778,0.6422674801047473,31.96217962190831,3.2942378509779804,0.50255786025413
004890,2020.0,1,1624553250.0,278495000000.0,42898961422.0,-218484738.0,97608174446.0,1020490792.0,353164000000.0,411271000000.0,58106340977.0,0.031,110347195065.094,-0.236,0.014722197959283635,0.01045497262695522,0.27638200509111915,2.3336333346763936,0.8354692409843585,108.13149509054462,1.130511821283387,0.3124525408922856
004920,2020.0,1,0.0,16567608993.0,18242595798.0,-1298537531.0,10355670507.0,-1860760832.0,29133334777.0,56261161819.0,27127827042.0,0.058,36748237811.038,-0.366,0.0,-0.17968521021813155,0.355457780108837,1.7279981330034524,0.06883893486108206,-19.7490387690179,3.5486101828170113,1.2613810980557492
005360,2020.0,1,1329411490.0,83920687405.0,85995208842.0,407999993.0,33507906350.0,-303798225.0,73520674432.0,183401000000.0,109880000000.0,0.069,50739277962.8475,-0.39,0.02620083578984759,-0.009066463951126567,0.4557616834838994,1.6726509768347058,-0.49454559345247984,-167.01637398588323,1.5142479339908834,0.6901331315249725
005860,2020.0,1,0.0,104607000000.0,107055000000.0,514607572.0,80609119312.0,-2607729199.0,58500608653.0,172947000000.0,114446000000.0,0.048,60878733868.5993,-0.355,0.0,-0.032350300080896635,1.3779193271327825,2.38750298400773,-0.9563215261373359,-23.34549687595813,0.7552338294748804,1.0406443286200115
006650,2020.0,1,15440250000.0,467054000000.0,141560000000.0,-45744196354.0,496024000000.0,-30184934395.0,1733060000000.0,2025080000000.0,292023000000.0,0.045,567449784342.781,-0.349,0.027209896674615642,-0.06085377803291776,0.2862128258686947,1.7109247494991575,0.8314986209363784,-18.799106100981838,1.1439966298864188,0.3274270750141403
006920,2020.0,1,160515000.0,24401995036.0,16628296965.0,-1034468958.0,15307713954.0,-1019215748.0,28026580094.0,54651278670.0,26624698576.0,0.052,32159395635.2,-0.523,0.004991231857115767,-0.0665818391343583,0.5461855817819569,1.9041317026755724,0.05001971390366389,-31.55307960881311,2.100862070707596,1.1474605723330749
