종목코드,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE,배당수익률,AltmanZScore,순이익률,자본회전율,PER,PSR,PBR,배당수익률_percentile,순이익률_percentile,자본회전율_percentile,PER_percentile,PSR_percentile,PBR_percentile,ATR_percentile,TSF_SLOPE_percentile,avg_of_변동성지표_percentile,avg_of_수익성지표_percentile,avg_of_가치성지표_percentile,avg_of_모멘텀지표_percentile,변동성지표_percentile,수익성지표_percentile,가치성지표_percentile,모멘텀지표_percentile
123410,2,2227284720.0,229966000000.0,204012000000.0,4976463109.0,167180000000.0,8799665664.0,170226000000.0,425985000000.0,255760000000.0,0.042,101759106120.459,0.263,0.02188781726682441,1.9880282038870114,0.052635875487498505,0.982106141247518,11.563974133331232,0.6086799026226761,0.5977917821733529,0.7024922118380063,0.4766355140186916,0.9392523364485982,0.30218068535825543,0.09190031152647975,0.32087227414330216,0.676791277258567,0.9003115264797508,0.676791277258567,0.7061266874350988,0.23831775700934577,0.9003115264797508,0.676791277258567,0.9143302180685359,0.1526479750778816,0.9003115264797508
123410,3,2227284720.0,242825000000.0,195781000000.0,6057688220.0,155355000000.0,2689278153.0,172825000000.0,419290000000.0,246465000000.0,0.046,88673781598.3158,-0.167,0.025117736943817262,1.982734339627919,0.01731053492324032,0.8989150875162737,32.97307922551506,0.5707816394600482,0.5130842273879115,0.7554517133956387,0.27102803738317754,0.926791277258567,0.5778816199376947,0.0794392523364486,0.24610591900311526,0.7577881619937694,0.1557632398753894,0.7577881619937694,0.6510903426791277,0.3011422637590862,0.1557632398753894,0.7577881619937694,0.8161993769470405,0.22741433021806853,0.1557632398753894
126700,1,0.0,284821597418.0,140165590561.0,4396553826.0,37062571422.0,6193898285.0,229023298351.0,371240976667.0,142217678316.0,0.04,286141510024.239,-0.055,0.0,2.7953550294560507,0.1671200363967018,0.16182882566470633,46.19732143764757,7.720498040089794,1.2493991313743982,0.0646417445482866,0.8037383177570093,0.19937694704049844,0.6884735202492211,0.8099688473520249,0.661993769470405,0.6308411214953271,0.4158878504672897,0.6308411214953271,0.3559190031152648,0.7201453790238838,0.4158878504672897,0.6308411214953271,0.18613707165109034,0.8130841121495327,0.4158878504672897
126700,2,1594688280.0,310618000000.0,158681000000.0,9909079286.0,63559472898.0,13512028765.0,236590000000.0,397308000000.0,160718000000.0,0.036,313037286816.459,0.177,0.005094243871769189,2.9082390797038586,0.2125887479697016,0.2686481799653409,23.167304648382235,4.925108289032227,1.3231213779807218,0.2632398753894081,0.8707165109034268,0.45950155763239875,0.46105919003115264,0.6806853582554517,0.6931464174454829,0.4984423676012461,0.8317757009345794,0.4984423676012461,0.531152647975078,0.6116303219106958,0.8317757009345794,0.4984423676012461,0.5389408099688473,0.6682242990654206,0.8317757009345794
126700,3,1594688280.0,323773000000.0,148805000000.0,35849584342.0,123874000000.0,29950795827.0,263055000000.0,413803000000.0,150748000000.0,0.042,281658836774.365,-0.045,0.005661772583678936,3.148657793743064,0.2417843601320697,0.47090532398167684,9.404051845609244,2.27375265813944,1.0707222321353518,0.2866043613707165,0.9034267912772586,0.7476635514018691,0.27414330218068533,0.40031152647975077,0.6074766355140186,0.676791277258567,0.440809968847352,0.676791277258567,0.6458982346832814,0.4273104880581516,0.440809968847352,0.676791277258567,0.8045171339563862,0.40342679127725856,0.440809968847352
126720,2,8571600000.0,362175000000.0,69324237582.0,12429705159.0,91348873290.0,12866343155.0,480921000000.0,603705000000.0,122784000000.0,0.035,326434972968.124,-0.036,0.026258215907635014,2.695093002417252,0.14084840558628417,0.1899456943863961,25.37123167286797,3.5734975288836868,0.6787704695118825,0.7710280373831776,0.7523364485981309,0.2632398753894081,0.4937694704049844,0.5669781931464174,0.3987538940809969,0.4680685358255452,0.4532710280373832,0.4680685358255452,0.5955347871235722,0.4865005192107996,0.4532710280373832,0.4680685358255452,0.6822429906542056,0.48442367601246106,0.4532710280373832
126720,3,8571600000.0,340397000000.0,63382481997.0,9998002720.0,71417410387.0,10256454101.0,491013000000.0,608748000000.0,117735000000.0,0.027,287148583928.183,-0.051,0.0298507479394145,2.451659060529485,0.1436127975716544,0.1454491233164906,27.996867250659868,4.020708429109496,0.5848085161252004,0.8084112149532711,0.7616822429906542,0.1588785046728972,0.5280373831775701,0.6043613707165109,0.308411214953271,0.235202492211838,0.42679127725856697,0.235202492211838,0.5763239875389409,0.480269989615784,0.42679127725856697,0.235202492211838,0.6503115264797508,0.4657320872274143,0.42679127725856697
127710,1,719294316.0,290884051377.0,338480426537.0,-4317451213.0,22808675467.0,-3280922642.0,187354327860.0,724661770305.0,537307442445.0,0.03,63036815739.5125,0.045,0.011410701945547904,1.2178162243124029,-0.14384538228652943,0.12174085182619171,-19.213136857468307,2.7637210161859374,0.33645775072042416,0.48598130841121495,0.045171339563862926,0.10747663551401869,0.1557632398753894,0.4735202492211838,0.10747663551401869,0.3146417445482866,0.6596573208722741,0.3146417445482866,0.21287642782969884,0.2455867082035306,0.6596573208722741,0.3146417445482866,0.04984423676012461,0.16043613707165108,0.6596573208722741
127710,2,252122259.0,248561000000.0,326953000000.0,-10156059320.0,24820121562.0,-9627480839.0,177930000000.0,660588000000.0,482658000000.0,0.021,52251438088.7292,-0.129,0.004825173587985582,1.1962384461639286,-0.387890156579242,0.1394937422694318,-5.427321950833041,2.1052047613145852,0.29366289039919746,0.2538940809968847,0.017133956386292833,0.14797507788161993,0.1838006230529595,0.3707165109034268,0.08411214953271028,0.10514018691588785,0.21105919003115264,0.10514018691588785,0.13966770508826584,0.21287642782969884,0.21105919003115264,0.10514018691588785,0.020249221183800622,0.13006230529595014,0.21105919003115264
128660,3,3348454815.0,67470076320.0,53486747725.0,-237252354.0,55170298195.0,-1462166409.0,72558708447.0,128614000000.0,56055658611.0,0.044,94004763350.7097,-0.251,0.03562005472539409,2.6407974053303107,-0.026502782418031483,0.760353917204835,-64.29142590890262,1.703901672208638,1.2955748650142247,0.8691588785046729,0.1261682242990654,0.8894080996884736,0.09034267912772585,0.29439252336448596,0.6806853582554517,0.7242990654205608,0.05218068535825545,0.7242990654205608,0.6282450674974039,0.35514018691588783,0.05218068535825545,0.7242990654205608,0.764797507788162,0.29283489096573206,0.05218068535825545
