종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE
074600,2023.0,2.0,3943200000.0,352388000000.0,235759000000.0,27962568811.0,202656000000.0,21441621221.0,505486000000.0,1325880000000.0,820392000000.0,0.037,816242598140.266,0.168
075180,2023.0,2.0,2688000000.0,149507000000.0,25626043386.0,-1884087295.0,37290649247.0,3781224424.0,232802000000.0,262141000000.0,29339239268.0,0.026,87264036986.0662,-0.076
075580,2023.0,2.0,8234666100.0,131075000000.0,283822000000.0,21194278261.0,120491000000.0,7414464807.0,209696000000.0,534555000000.0,324859000000.0,0.043,370089814602.547,0.024
075970,2023.0,2.0,1485507200.0,68801695715.0,39247969433.0,1015475072.0,29017184175.0,732614246.0,81479902880.0,126297000000.0,44817288820.0,0.073,75623976842.4115,-0.077
078140,2023.0,2.0,999993510.0,125230000000.0,37775738011.0,286426546.0,21295028361.0,2803295930.0,150442000000.0,190216000000.0,39774092817.0,0.038,97783680387.8615,0.186
079550,2023.0,2.0,32691540000.0,2009450000000.0,2106380000000.0,40220376361.0,545755000000.0,91318234259.0,993139000000.0,3228270000000.0,2235130000000.0,0.032,1784200079773.64,0.091
079940,2023.0,2.0,3821228030.0,198062000000.0,69098762264.0,11249903579.0,65536702659.0,13258503486.0,268922000000.0,389075000000.0,120152000000.0,0.029,168113207608.295,0.07
080010,2023.0,2.0,983311000.0,73172406804.0,26566322174.0,4379286985.0,20270882713.0,4273145133.0,136749000000.0,176729000000.0,39980039311.0,0.028,56500000503.9721,0.063
080420,2023.0,2.0,2817809.0,205019000000.0,325178000000.0,11529394809.0,101889000000.0,4478322132.0,384160000000.0,958213000000.0,574053000000.0,0.033,252717612469.947,-0.087
082920,2023.0,2.0,4235910400.0,166470000000.0,33696082749.0,15262793100.0,49811512987.0,17219012828.0,214816000000.0,251524000000.0,36707372687.0,0.051,510886512712.685,0.232
083450,2023.0,2.0,2700754500.0,174220000000.0,40573255452.0,6307420671.0,64324444370.0,13675605523.0,212685000000.0,257431000000.0,44746678750.0,0.04,264158068622.024,0.102
083550,2023.0,2.0,521073250.0,91249660914.0,40594830725.0,270034645.0,32475316683.0,271914769.0,132051000000.0,182179000000.0,50128018609.0,0.024,60408987497.6889,-0.064
083930,2023.0,2.0,4005363600.0,198914000000.0,100233000000.0,3129714748.0,64948497361.0,-1566107074.0,178950000000.0,281728000000.0,102779000000.0,0.057,341393339845.391,0.12
084690,2023.0,2.0,28797328595.0,2205660000000.0,1307610000000.0,40790472610.0,1289750000000.0,31034228863.0,1614940000000.0,4167810000000.0,2552860000000.0,0.041,292235289843.216,0.182
086670,2023.0,2.0,1825034800.0,137473000000.0,94360207353.0,8270236330.0,43424930880.0,11727383369.0,116270000000.0,258627000000.0,142357000000.0,0.028,144451557355.52,0.089
086710,2023.0,2.0,579144515.0,42686270668.0,27907978330.0,2568332906.0,19042481985.0,4685639128.0,70996047111.0,126449000000.0,55453339524.0,0.057,126914108346.113,0.605
088910,2023.0,2.0,0.0,111949000000.0,41659459887.0,10210213569.0,92798281855.0,16283521161.0,210037000000.0,273146000000.0,63108650900.0,0.032,78528504694.3476,0.03
089030,2023.0,2.0,4646261620.0,166660000000.0,173823000000.0,2430951065.0,39490614105.0,-962414682.0,218771000000.0,478999000000.0,260229000000.0,0.036,311529294569.585,0.137
090410,2023.0,2.0,921680700.0,82889787176.0,46021340216.0,7737919289.0,57717838505.0,12904920593.0,103418000000.0,154316000000.0,50897417467.0,0.043,133413569670.031,0.358
090460,2023.0,2.0,7923580500.0,469147000000.0,362649000000.0,9706587934.0,305288000000.0,973254153.0,600441000000.0,980891000000.0,380450000000.0,0.038,930537821050.435,0.21
090470,2023.0,2.0,2894283000.0,78831141785.0,24891599019.0,401746202.0,18809821945.0,1398367088.0,168244000000.0,194394000000.0,26149424256.0,0.053,167425780163.674,0.042
091580,2023.0,2.0,1551145185.0,133116000000.0,107034000000.0,7410222835.0,76719178204.0,2885689288.0,132341000000.0,255184000000.0,122843000000.0,0.056,256210464851.592,-0.299
091590,2023.0,2.0,2348000000.0,110404000000.0,25338043962.0,-1537541255.0,18175597654.0,12580141091.0,183840000000.0,217419000000.0,33578901617.0,0.042,99790038767.0916,0.024
092300,2023.0,2.0,1829758900.0,94762460955.0,87278609804.0,2467768375.0,57174950757.0,1758916387.0,93982506774.0,202279000000.0,108297000000.0,0.053,100273004674.956,0.03
092460,2023.0,2.0,1713397600.0,132657000000.0,50288616086.0,1279039562.0,20341426384.0,69203532576.0,164833000000.0,226103000000.0,61269992585.0,0.046,117372395760.941,0.116
093190,2023.0,2.0,6413762000.0,126547000000.0,22851900775.0,3463753298.0,26382546482.0,2664186835.0,206548000000.0,237470000000.0,30922725467.0,0.025,118511666331.443,-0.062
093320,2023.0,2.0,2902102200.0,109967000000.0,23133216742.0,7725792670.0,31395369067.0,14453589728.0,171369000000.0,205650000000.0,34280917480.0,0.04,318663995447.77,0.269
093370,2023.0,2.0,1885566520.0,263113000000.0,333418000000.0,-3022746430.0,140020000000.0,-6942651426.0,398072000000.0,901544000000.0,503472000000.0,0.034,1198271779509.17,-0.174
093520,2023.0,2.0,1349680800.0,335230000000.0,244289000000.0,6680738099.0,46504022878.0,15062474202.0,102408000000.0,347282000000.0,244875000000.0,0.049,228061173722.663,0.698
094820,2023.0,2.0,4813593810.0,97721483270.0,33249020347.0,3777497126.0,53148068788.0,1323932643.0,126641000000.0,181416000000.0,54774484640.0,0.047,204165590081.871,-0.082
097520,2023.0,2.0,8842227500.0,221720000000.0,186961000000.0,-2287097870.0,192201000000.0,12017779568.0,313578000000.0,506423000000.0,192845000000.0,0.027,540230520914.47,-0.024
098120,2023.0,2.0,665021280.0,39110623808.0,9316777612.0,1287493316.0,16111594124.0,3091373767.0,51459536291.0,62464801225.0,11005264934.0,0.043,68247787679.7064,0.241
100030,2023.0,2.0,998441280.0,30229093553.0,6263482757.0,897953174.0,6277114034.0,3049327787.0,51257271624.0,59025747737.0,7768476113.0,0.039,65838458650.2244,-0.094
100220,2023.0,2.0,1225151500.0,112518000000.0,120623000000.0,-5935199632.0,48664577203.0,-3459654755.0,185600000000.0,311095000000.0,125495000000.0,0.04,70312334205.6727,-0.029
100250,2023.0,2.0,10265339850.0,233127000000.0,140590000000.0,3210897640.0,69230739795.0,36345221702.0,429185000000.0,623844000000.0,194659000000.0,0.017,185013348752.898,0.087
101490,2023.0,2.0,3124540500.0,109533000000.0,28538664089.0,6193080311.0,35763111332.0,13750006020.0,208921000000.0,243449000000.0,34527726251.0,0.053,1188410163200.0,0.506
101730,2023.0,2.0,67365000.0,99024918597.0,37243683722.0,936367624.0,15632811234.0,795890661.0,83378235673.0,126420000000.0,43042146327.0,0.048,344939381288.27,-0.384
102710,2023.0,2.0,2143175400.0,236126000000.0,192955000000.0,4513543620.0,138410000000.0,1348557124.0,391835000000.0,663621000000.0,271786000000.0,0.034,381485319006.316,0.155
104830,2023.0,2.0,10086400000.0,192512000000.0,75315878931.0,5001975830.0,91175438973.0,13211403539.0,448485000000.0,525348000000.0,76862536385.0,0.029,395260788736.0,0.1
105740,2023.0,2.0,1831376600.0,106553000000.0,68374836289.0,6046223050.0,33143196595.0,9694755612.0,121736000000.0,195692000000.0,73955985015.0,0.025,117612418271.835,0.009
107590,2023.0,2.0,2227689800.0,159258000000.0,141722000000.0,2647040072.0,106844000000.0,8840768812.0,264323000000.0,499608000000.0,235286000000.0,0.011,232463892480.0,-0.019
109860,2023.0,2.0,3383690000.0,70051831575.0,14807951378.0,3567770169.0,31160749011.0,5543213919.0,156448000000.0,174588000000.0,18140063721.0,0.02,197470027776.0,-0.244
110790,2023.0,2.0,5352918500.0,253993000000.0,170553000000.0,17603700534.0,107475000000.0,9152769699.0,382948000000.0,680038000000.0,297090000000.0,0.029,213573103491.068,-0.07
112610,2023.0,2.0,20714740500.0,1031700000000.0,684894000000.0,41832473032.0,415520000000.0,21005251071.0,964571000000.0,1970790000000.0,1006220000000.0,0.043,3639391910457.16,0.165
114090,2023.0,2.0,0.0,294997000000.0,148803000000.0,11005890429.0,100234000000.0,30182580283.0,412755000000.0,622508000000.0,209753000000.0,0.035,1010722045703.76,-0.155
118990,2023.0,2.0,6009418872.0,286385000000.0,202326000000.0,17820794637.0,150891000000.0,24017504192.0,192426000000.0,532477000000.0,340051000000.0,0.044,468897221000.17,0.005
119850,2023.0,2.0,793169050.0,100455000000.0,58042018997.0,1968593902.0,47202637425.0,3161698841.0,117421000000.0,175818000000.0,58397107847.0,0.07,78543550644.09,0.372
120110,2023.0,2.0,41774742350.0,2318140000000.0,2576760000000.0,65814042517.0,1347220000000.0,65788848598.0,2755890000000.0,5999330000000.0,3243440000000.0,0.03,1374579055559.22,0.124
121600,2023.0,2.0,2658532445.0,159286000000.0,6867979913.0,4531558912.0,23485984639.0,8604262685.0,206449000000.0,216112000000.0,9662652532.0,0.05,1504177439081.79,-0.256
122310,2023.0,2.0,2236295040.0,68011375119.0,21952814842.0,3708956409.0,24400309792.0,5474783725.0,88728402077.0,112262000000.0,23534009720.0,0.023,105951944748.281,-0.094
122450,2023.0,2.0,6865295852.0,256780000000.0,259050000000.0,23908345715.0,122236000000.0,15351528202.0,341674000000.0,1058200000000.0,716526000000.0,0.022,220332824261.89,-0.15
122690,2023.0,2.0,1163833200.0,529005000000.0,703584000000.0,21201617784.0,585425000000.0,19092746180.0,231623000000.0,1137630000000.0,906011000000.0,0.064,80879243555.0863,-0.08
